	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
129	Lyra Dawnbringer	mythic	349	279	628	0.5557324840764332	10048.0	1564.8000000000002
235	Verix Bladewing	mythic	359	313	672	0.5342261904761905	10752.0	1443.1999999999996
143	Multani, Yavimaya's Avatar	mythic	318	290	608	0.5230263157894737	9728.0	1196.7999999999997
252	Zahid, Djinn of the Lamp	rare	503	421	924	0.5443722943722944	7392.0	1067.2
180	Shalai, Voice of Plenty	rare	524	464	988	0.5303643724696356	7904.0	1030.3999999999999
145	Naru Meha, Master Wizard	mythic	209	177	386	0.5414507772020726	6176.0	873.6000000000001
87	Grand Warlord Radha	rare	426	388	814	0.5233415233415234	6512.0	803.2000000000002
131	Marwyn, the Nurturer	rare	484	476	960	0.5041666666666667	7680.0	799.9999999999998
51	Demonlord Belzenlok	mythic	280	296	576	0.4861111111111111	9216.0	793.5999999999997
102	Island	land	3219	2976	6195	0.5196125907990314	6195.0	740.9999999999997
197	Squee, the Immortal	rare	432	422	854	0.5058548009367682	6832.0	723.1999999999999
96	History of Benalia	mythic	156	129	285	0.5473684210526316	4560.0	672.0000000000001
201	Swamp	land	3678	3850	7528	0.4885759829968119	7528.0	666.7999999999996
140	Mountain	land	2934	2741	5675	0.5170044052863436	5675.0	663.9999999999999
12	Aryel, Knight of Windgrace	rare	413	412	825	0.5006060606060606	6600.0	663.9999999999999
156	Plains	land	3003	2846	5849	0.5134210976235254	5849.0	663.3999999999999
109	Josu Vess, Lich Knight	rare	500	543	1043	0.4793863854266539	8344.0	662.4
205	Teferi, Hero of Dominaria	mythic	144	114	258	0.5581395348837209	4128.0	652.7999999999998
223	Torgaar, Famine Incarnate	rare	478	525	1003	0.4765702891326022	8024.0	614.3999999999997
115	Kazarov, Sengir Pureblood	rare	476	536	1012	0.47035573122529645	8096.0	569.5999999999999
71	Forest	land	2826	2978	5804	0.48690558235699516	5804.0	504.39999999999975
247	Wizard's Retort	uncommon	726	620	1346	0.5393759286775631	3589.333333333333	500.2666666666664
202	Sylvan Awakening	rare	284	274	558	0.5089605734767025	4464.0	486.40000000000003
144	Naban, Dean of Iteration	rare	277	265	542	0.511070110701107	4336.0	481.59999999999974
114	Karn, Scion of Urza	mythic	120	105	225	0.5333333333333333	3600.0	479.9999999999999
185	Siege-Gang Commander	rare	236	207	443	0.5327313769751693	3544.0	470.39999999999975
241	Weatherlight	mythic	128	120	248	0.5161290322580645	3968.0	460.79999999999984
100	In Bolas's Clutches	uncommon	650	547	1197	0.5430242272347535	3192.0	456.5333333333332
66	Fight with Fire	uncommon	658	560	1218	0.5402298850574713	3248.0	455.46666666666664
230	Urgoros, the Empty One	uncommon	864	874	1738	0.49712313003452246	4634.666666666666	450.13333333333327
18	Benalish Marshal	rare	204	166	370	0.5513513513513514	2960.0	448.0
149	On Serra's Wings	uncommon	581	454	1035	0.561352657004831	2760.0	445.33333333333337
167	Rite of Belzenlok	rare	249	237	486	0.5123456790123457	3888.0	436.8000000000001
208	Teshar, Ancestor's Apostle	rare	285	291	576	0.4947916666666667	4608.0	436.79999999999995
32	Cast Down	uncommon	767	742	1509	0.508283631544069	4024.0	435.73333333333346
218	Thorn Elemental	uncommon	928	984	1912	0.48535564853556484	5098.666666666666	435.19999999999976
227	Two-Headed Giant	rare	241	228	469	0.5138592750533049	3752.0	427.19999999999976
206	Tempest Djinn	rare	202	171	373	0.5415549597855228	2984.0	422.40000000000003
44	Darigaaz Reincarnated	mythic	144	150	294	0.4897959183673469	4704.0	422.39999999999986
239	Warcry Phoenix	uncommon	631	558	1189	0.5306980656013457	3170.6666666666665	414.4
207	Territorial Allosaurus	rare	225	208	433	0.5196304849884527	3464.0	414.3999999999999
133	Memorial to Genius	uncommon	718	692	1410	0.5092198581560283	3760.0	410.6666666666664
216	The Mending of Dominaria	rare	196	166	362	0.5414364640883977	2896.0	409.5999999999998
213	The Eldest Reborn	uncommon	755	756	1511	0.499669093315685	4029.333333333333	401.5999999999999
73	Fungal Infection	common	1779	1668	3447	0.516100957354221	3447.0	400.19999999999976
