	colors	wins	losses	games	WinLoss	ZScore
23	wu	574	399	973	0.5899280575539568	4.940784067374534
13	ur	789	611	1400	0.5635714285714286	3.9542212160362094
5	r	28	13	41	0.6829268292682927	2.2051835374164948
21	wr	331	274	605	0.547107438016529	1.7894878334171893
15	w	12	5	17	0.7058823529411765	1.6092599014287325
8	ub	439	409	848	0.5176886792452831	0.4052257284656006
4	g	15	13	28	0.5357142857142857	0.2643990382869861
6	rg	318	299	617	0.5153970826580226	0.2318099073673106
0	b	23	21	44	0.5227272727272727	0.1591495381025677
16	wb	697	662	1359	0.5128771155261221	0.1582369900636614
14	urg	95	89	184	0.5163043478260869	0.15120317309186487
20	wg	245	234	479	0.511482254697286	0.03288731006122249
18	wbr	131	125	256	0.51171875	0.03161040250515512
29	wur	159	155	314	0.5063694267515924	-0.15457188896333915
12	ug	227	224	451	0.5033259423503326	-0.3145156839586227
22	wrg	86	91	177	0.4858757062146893	-0.6613543551361938
2	br	366	370	736	0.49728260869565216	-0.7296873469005487
24	wub	220	228	448	0.49107142857142855	-0.8322262118981922
7	u	11	15	26	0.4230769230769231	-0.8938989317021727
26	wubr	11	15	26	0.4230769230769231	-0.8938989317021727
19	wbrg	61	69	130	0.46923076923076923	-0.946349153132065
28	wug	133	144	277	0.48014440433212996	-1.0181223147976686
9	ubg	294	315	609	0.4827586206896552	-1.3805968718883401
30	wurg	16	24	40	0.4	-1.4006477206788714
3	brg	331	360	691	0.47901591895803186	-1.6673770393812957
1	bg	659	692	1351	0.4877868245743893	-1.686664497463183
27	wubrg	7	18	25	0.28	-2.3073092492171385
17	wbg	249	292	541	0.4602587800369686	-2.347904289713103
10	ubr	120	159	279	0.43010752688172044	-2.693352494504013
11	ubrg	26	48	74	0.35135135135135137	-2.7420698655496176
25	wubg	14	33	47	0.2978723404255319	-2.918569868072209
