	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
39	Cavalier of Gales	mythic	104	51	155	0.6709677419354839	2480.0	672.0000000000001
69	Dread Presence	rare	204	114	318	0.6415094339622641	2544.0	614.3999999999999
70	Dungeon Geists	rare	216	138	354	0.6101694915254238	2832.0	595.2
121	Island	land	2027	1562	3589	0.5647812761214823	3589.0	591.4
246	Vivien, Arkbow Ranger	mythic	98	61	159	0.6163522012578616	2544.0	550.3999999999999
157	Mu Yanling, Sky Dancer	mythic	108	77	185	0.5837837837837838	2960.0	544.0
40	Cavalier of Night	mythic	94	58	152	0.618421052631579	2432.0	531.2
195	Scampering Scorcher	uncommon	654	507	1161	0.5633074935400517	3096.0	505.6
163	Nightpack Ambusher	rare	197	138	335	0.5880597014925373	2680.0	503.99999999999983
88	Forest	land	1767	1408	3175	0.5565354330708662	3175.0	497.0
49	Chandra, Awakened Inferno	mythic	91	60	151	0.6026490066225165	2416.0	489.59999999999985
3	Agent of Treachery	rare	179	121	300	0.5966666666666667	2400.0	472.0
38	Cavalier of Flame	mythic	88	59	147	0.5986394557823129	2352.0	467.19999999999993
172	Pattern Matcher	uncommon	604	469	1073	0.5629077353215284	2861.333333333333	466.1333333333331
247	Voracious Hydra	rare	166	108	274	0.6058394160583942	2192.0	451.20000000000005
188	Risen Reef	uncommon	533	377	910	0.5857142857142857	2426.6666666666665	450.66666666666663
200	Scuttlemutt	uncommon	595	489	1084	0.5488929889298892	2890.6666666666665	430.39999999999975
255	Woodland Champion	uncommon	551	437	988	0.5576923076923077	2634.6666666666665	415.46666666666664
169	Overgrowth Elemental	uncommon	484	349	833	0.581032412965186	2221.333333333333	402.13333333333316
205	Shifting Ceratops	rare	179	143	322	0.5559006211180124	2576.0	401.5999999999999
67	Drakuseth, Maw of Flames	rare	158	114	272	0.5808823529411765	2176.0	393.6
168	Overcome	uncommon	483	364	847	0.5702479338842975	2258.6666666666665	384.53333333333325
201	Season of Growth	uncommon	515	413	928	0.5549568965517241	2474.6666666666665	383.46666666666647
156	Mountain	land	1392	1150	2542	0.5476003147128246	2542.0	375.19999999999993
214	Spectral Sailor	uncommon	437	306	743	0.5881561238223418	1981.3333333333333	372.7999999999999
41	Cavalier of Thorns	mythic	77	59	136	0.5661764705882353	2176.0	361.5999999999999
93	Gargos, Vicious Watcher	rare	151	118	269	0.5613382899628253	2152.0	347.20000000000005
220	Swamp	land	1335	1138	2473	0.5398301657905378	2473.0	345.79999999999984
203	Sephara, Sky's Blade	rare	122	77	199	0.6130653266331658	1592.0	339.19999999999993
61	Diamond Knight	uncommon	483	407	890	0.5426966292134832	2373.333333333333	338.66666666666663
34	Brineborn Cutthroat	uncommon	430	332	762	0.5643044619422573	2032.0	333.8666666666667
102	Golos, Tireless Pilgrim	rare	111	64	175	0.6342857142857142	1400.0	327.9999999999999
256	Yarok's Fenlurker	uncommon	464	393	857	0.5414235705950992	2285.333333333333	323.1999999999999
37	Cavalier of Dawn	mythic	54	31	85	0.6352941176470588	1360.0	319.99999999999994
91	Frost Lynx	common	1047	773	1820	0.5752747252747252	1820.0	318.9999999999999
51	Cloudkin Seer	common	926	609	1535	0.603257328990228	1535.0	311.99999999999994
6	Ajani, Strength of the Pride	mythic	67	52	119	0.5630252100840336	1904.0	310.4
5	Air Elemental	uncommon	392	298	690	0.5681159420289855	1840.0	309.3333333333333
149	Metropolis Sprite	common	1011	746	1757	0.5754126351735913	1757.0	308.1999999999999
16	Barkhide Troll	uncommon	354	244	598	0.5919732441471572	1594.6666666666665	306.1333333333333
229	Thicket Crasher	common	997	733	1730	0.576300578034682	1730.0	304.9999999999999
110	Hanged Executioner	rare	115	78	193	0.5958549222797928	1544.0	302.4
178	Pulse of Murasa	uncommon	356	253	609	0.5845648604269293	1624.0	299.73333333333323
68	Drawn from Dreams	rare	125	95	220	0.5681818181818182	1760.0	296.00000000000006
181	Rapacious Dragon	uncommon	388	307	695	0.5582733812949641	1853.3333333333333	293.33333333333337
13	Atemsis, All-Seeing	rare	142	122	264	0.5378787878787878	2112.0	291.1999999999999
173	Plains	land	1056	867	1923	0.5491419656786272	1923.0	286.8
50	Chandra, Novice Pyromancer	uncommon	342	252	594	0.5757575757575758	1584.0	278.40000000000003
218	Steel Overseer	rare	111	80	191	0.581151832460733	1528.0	276.79999999999995
32	Boreal Elemental	common	954	742	1696	0.5625	1696.0	275.59999999999997
139	Loyal Pegasus	uncommon	353	277	630	0.5603174603174603	1680.0	269.3333333333333
7	Ancestral Blade	uncommon	287	185	472	0.6080508474576272	1258.6666666666665	261.8666666666667
189	Rotting Regisaur	rare	115	93	208	0.5528846153846154	1664.0	254.40000000000003
129	Leafkin Druid	common	864	677	1541	0.5606748864373783	1541.0	247.5999999999999
77	Eternal Isolation	uncommon	294	212	506	0.5810276679841897	1349.3333333333333	244.2666666666666
140	Mammoth Spider	common	846	659	1505	0.5621262458471761	1505.0	243.99999999999997
74	Embodiment of Agonies	rare	130	119	249	0.5220883534136547	1992.0	243.20000000000007
63	Disfigure	uncommon	308	234	542	0.5682656826568265	1445.3333333333333	243.1999999999999
184	Renowned Weaponsmith	uncommon	282	199	481	0.5862785862785863	1282.6666666666665	238.9333333333333
209	Sleep Paralysis	common	801	609	1410	0.5680851063829787	1410.0	236.99999999999994
138	Loxodon Lifechanter	rare	95	69	164	0.5792682926829268	1312.0	235.19999999999993
165	Octoprophet	common	807	636	1443	0.5592515592515592	1443.0	229.79999999999993
250	Warden of Evos Isle	uncommon	341	297	638	0.5344827586206896	1701.3333333333333	228.79999999999987
78	Evolving Wilds	common	763	579	1342	0.5685543964232489	1342.0	226.2
83	Feral Invocation	common	745	568	1313	0.5674028941355674	1313.0	219.8
167	Omnath, Locus of the Roil	mythic	48	38	86	0.5581395348837209	1376.0	217.59999999999997
8	Angel of Vitality	uncommon	323	281	604	0.5347682119205298	1610.6666666666665	217.06666666666663
258	Yarok, the Desecrated	mythic	45	34	79	0.569620253164557	1264.0	214.40000000000003
128	Lavakin Brawler	common	781	636	1417	0.5511644318983768	1417.0	214.19999999999993
101	Gods Willing	uncommon	311	266	577	0.5389948006932409	1538.6666666666665	213.86666666666662
236	Uncaged Fury	uncommon	291	238	529	0.5500945179584121	1410.6666666666665	211.73333333333332
43	Cerulean Drake	uncommon	328	295	623	0.5264847512038523	1661.3333333333333	210.13333333333324
56	Cryptic Caves	uncommon	255	186	441	0.5782312925170068	1176.0	209.59999999999994
162	Netcaster Spider	common	675	491	1166	0.5789022298456261	1166.0	208.60000000000002
14	Audacious Thief	common	755	613	1368	0.5519005847953217	1368.0	207.8
179	Rabid Bite	common	723	572	1295	0.5583011583011583	1295.0	205.00000000000003
183	Reduce to Ashes	common	789	671	1460	0.5404109589041096	1460.0	205.0
148	Meteor Golem	uncommon	300	261	561	0.5347593582887701	1496.0	201.60000000000002
252	Winged Words	common	698	551	1249	0.5588470776621297	1249.0	198.39999999999998
234	Tomebound Lich	uncommon	236	168	404	0.5841584158415841	1077.3333333333333	198.39999999999992
48	Chandra, Acolyte of Flame	rare	102	92	194	0.5257731958762887	1552.0	195.2
249	Wakeroot Elemental	rare	91	76	167	0.5449101796407185	1336.0	193.59999999999994
15	Bag of Holding	rare	97	86	183	0.5300546448087432	1464.0	190.4
136	Loaming Shaman	uncommon	293	261	554	0.5288808664259927	1477.3333333333333	190.39999999999992
241	Vampire of the Dire Moon	uncommon	280	242	522	0.5363984674329502	1392.0	189.8666666666666
254	Wolfrider's Saddle	uncommon	268	224	492	0.5447154471544715	1312.0	189.8666666666666
257	Yarok's Wavecrasher	uncommon	226	162	388	0.5824742268041238	1034.6666666666665	188.79999999999998
55	Creeping Trailblazer	uncommon	241	188	429	0.5617715617715617	1144.0	185.0666666666666
204	Shared Summons	rare	67	43	110	0.6090909090909091	880.0	184.0
147	Masterful Replication	rare	65	40	105	0.6190476190476191	840.0	184.0
115	Howling Giant	uncommon	247	198	445	0.5550561797752809	1186.6666666666665	183.99999999999991
127	Kykar, Wind's Fury	mythic	37	27	64	0.578125	1024.0	182.39999999999998
73	Ember Hauler	uncommon	217	155	372	0.5833333333333334	992.0	181.86666666666667
207	Silverback Shaman	common	565	399	964	0.5860995850622407	964.0	179.4
100	Goblin Smuggler	common	602	459	1061	0.5673892554194157	1061.0	177.6
24	Blood for Bones	uncommon	248	206	454	0.5462555066079295	1210.6666666666665	177.06666666666666
104	Gravedigger	uncommon	258	221	479	0.5386221294363257	1277.3333333333333	177.06666666666666
206	Shock	common	608	475	1083	0.5614035087719298	1083.0	174.79999999999995
232	Thrashing Brontodon	uncommon	231	184	415	0.5566265060240964	1106.6666666666665	173.33333333333326
150	Might of the Masses	uncommon	195	131	326	0.598159509202454	869.3333333333333	172.26666666666662
126	Knight of the Ebon Legion	rare	112	115	227	0.4933920704845815	1816.0	169.59999999999997
158	Murder	common	646	547	1193	0.5414920368818106	1193.0	168.79999999999998
84	Ferocious Pup	common	594	476	1070	0.5551401869158878	1070.0	165.99999999999997
146	Master Splicer	uncommon	193	134	327	0.5902140672782875	872.0	165.8666666666667
33	Brightwood Tracker	common	531	392	923	0.5752979414951246	923.0	161.79999999999998
72	Elvish Reclaimer	rare	82	73	155	0.5290322580645161	1240.0	160.0
237	Unchained Berserker	uncommon	203	156	359	0.5654596100278552	957.3333333333333	158.39999999999998
1	Aerial Assault	common	574	475	1049	0.5471877979027645	1049.0	154.39999999999995
114	Herald of the Sun	uncommon	197	152	349	0.5644699140401146	930.6666666666666	153.06666666666663
47	Chandra's Spitfire	uncommon	244	224	468	0.5213675213675214	1248.0	151.4666666666667
10	Anticipate	common	581	500	1081	0.5374653098982424	1081.0	148.59999999999997
29	Bone Splinters	common	594	521	1115	0.5327354260089686	1115.0	147.99999999999997
21	Bladebrand	common	538	438	976	0.5512295081967213	976.0	147.6
212	Soul Salvage	common	531	445	976	0.5440573770491803	976.0	140.6
81	Fencing Ace	uncommon	192	159	351	0.5470085470085471	936.0	137.60000000000002
105	Greenwood Sentinel	common	451	335	786	0.573791348600509	786.0	136.60000000000002
75	Empyrean Eagle	uncommon	174	133	307	0.5667752442996743	818.6666666666666	136.53333333333333
19	Befuddle	common	448	335	783	0.5721583652618135	783.0	134.79999999999995
108	Growth Cycle	common	463	359	822	0.5632603406326034	822.0	134.20000000000002
248	Vorstclaw	common	436	326	762	0.5721784776902887	762.0	131.2
119	Inspiring Captain	common	422	305	727	0.5804676753782668	727.0	131.19999999999996
97	Glint-Horn Buccaneer	rare	65	57	122	0.5327868852459017	976.0	129.60000000000002
27	Bloodthirsty Aerialist	uncommon	203	183	386	0.5259067357512953	1029.3333333333333	129.59999999999994
86	Flame Sweep	uncommon	168	131	299	0.5618729096989966	797.3333333333333	129.0666666666666
45	Chandra's Outrage	common	462	376	838	0.5513126491646778	838.0	126.8
240	Unsummon	common	406	294	700	0.58	700.0	125.99999999999996
23	Blood Burglar	common	430	336	766	0.5613577023498695	766.0	123.60000000000001
194	Sanitarium Skeleton	common	512	460	972	0.5267489711934157	972.0	123.20000000000002
245	Vilis, Broker of Blood	rare	71	68	139	0.5107913669064749	1112.0	123.20000000000002
116	Icon of Ancestry	rare	45	29	74	0.6081081081081081	592.0	123.19999999999999
197	Scholar of the Ages	uncommon	162	128	290	0.5586206896551724	773.3333333333333	122.66666666666664
44	Chandra's Embercat	common	403	298	701	0.5748930099857347	701.0	122.6
135	Lightning Stormkin	uncommon	137	96	233	0.5879828326180258	621.3333333333333	116.79999999999997
95	Gift of Paradise	common	505	470	975	0.517948717948718	975.0	115.00000000000003
118	Inspired Charge	common	327	214	541	0.6044362292051756	541.0	110.59999999999998
244	Vial of Dragonfire	common	335	228	563	0.5950266429840142	563.0	109.79999999999998
145	Mask of Immolation	uncommon	115	70	185	0.6216216216216216	493.3333333333333	109.33333333333331
107	Griffin Sentinel	common	383	308	691	0.5542691751085383	691.0	106.59999999999998
103	Gorging Vulture	common	338	241	579	0.5837651122625216	579.0	106.39999999999999
227	Temple of Silence	rare	33	17	50	0.66	400.0	104.0
80	Fathom Fleet Cutthroat	common	430	386	816	0.5269607843137255	816.0	103.6
42	Centaur Courser	common	312	209	521	0.5988483685220729	521.0	103.59999999999997
58	Dawning Angel	common	380	311	691	0.5499276410998553	691.0	103.59999999999997
30	Bone to Ash	common	361	283	644	0.5605590062111802	644.0	103.4
253	Wolfkin Bond	common	380	314	694	0.547550432276657	694.0	102.39999999999995
243	Vengeful Warchief	uncommon	213	226	439	0.48519362186788156	1170.6666666666665	99.7333333333333
170	Pacifism	common	353	287	640	0.5515625	640.0	96.99999999999996
124	Keldon Raider	common	345	275	620	0.5564516129032258	620.0	96.99999999999996
11	Anvilwrought Raptor	common	382	335	717	0.5327754532775453	717.0	95.19999999999995
180	Raise the Alarm	common	334	264	598	0.5585284280936454	598.0	94.79999999999997
230	Thornwood Falls	common	294	207	501	0.5868263473053892	501.0	93.59999999999997
4	Agonizing Syphon	common	335	270	605	0.5537190082644629	605.0	93.00000000000001
202	Sedge Scorpion	common	346	293	639	0.5414710485133021	639.0	90.40000000000002
193	Salvager of Ruin	uncommon	139	125	264	0.5265151515151515	704.0	89.06666666666663
113	Heart-Piercer Bow	common	281	211	492	0.5711382113821138	492.0	84.2
155	Moorland Inquisitor	common	316	268	584	0.541095890410959	584.0	82.40000000000002
176	Portal of Sanctuary	uncommon	136	128	264	0.5151515151515151	704.0	81.06666666666663
120	Ironroot Warlord	uncommon	107	85	192	0.5572916666666666	512.0	80.5333333333333
211	Sorin, Imperious Bloodlord	mythic	35	40	75	0.4666666666666667	1200.0	79.99999999999999
109	Gruesome Scourger	uncommon	169	186	355	0.476056338028169	946.6666666666666	71.99999999999996
59	Daybreak Chaplain	common	286	250	536	0.5335820895522388	536.0	71.60000000000001
217	Steadfast Sentry	common	261	215	476	0.5483193277310925	476.0	70.60000000000001
20	Bishop of Wings	rare	28	20	48	0.5833333333333334	384.0	70.4
111	Hard Cover	uncommon	88	67	155	0.567741935483871	413.3333333333333	69.33333333333333
31	Boneclad Necromancer	common	247	199	446	0.5538116591928252	446.0	68.60000000000001
143	Marauder's Axe	common	257	215	472	0.5444915254237288	472.0	68.19999999999999
152	Moat Piranhas	common	254	211	465	0.546236559139785	465.0	68.0
106	Griffin Protector	common	219	159	378	0.5793650793650794	378.0	67.80000000000001
94	Gauntlets of Light	uncommon	112	105	217	0.5161290322580645	578.6666666666666	67.19999999999997
186	Retributive Wand	uncommon	85	68	153	0.5555555555555556	408.0	63.46666666666667
53	Convolute	common	281	263	544	0.5165441176470589	544.0	63.40000000000002
12	Apostle of Purifying Light	uncommon	79	61	140	0.5642857142857143	373.3333333333333	61.33333333333332
210	Sorcerer of the Fang	common	234	198	432	0.5416666666666666	432.0	61.199999999999974
79	Faerie Miscreant	common	226	189	415	0.5445783132530121	415.0	60.00000000000001
215	Squad Captain	common	202	158	360	0.5611111111111111	360.0	57.99999999999999
225	Temple of Malady	rare	30	27	57	0.5263157894736842	456.0	57.59999999999998
26	Bloodsoaked Altar	uncommon	111	113	224	0.4955357142857143	597.3333333333333	57.066666666666656
144	Marauding Raptor	rare	15	5	20	0.75	160.0	56.0
112	Healer of the Glade	common	248	233	481	0.5155925155925156	481.0	55.6
82	Feral Abomination	common	232	209	441	0.5260770975056689	441.0	55.59999999999997
57	Daggersail Aeronaut	common	245	230	475	0.5157894736842106	475.0	55.000000000000014
190	Rugged Highlands	common	193	152	345	0.5594202898550724	345.0	54.99999999999998
36	Captivating Gyre	uncommon	89	82	171	0.52046783625731	456.0	54.93333333333334
76	Epicure of Blood	common	213	183	396	0.5378787878787878	396.0	54.59999999999998
153	Moldervine Reclamation	uncommon	116	123	239	0.48535564853556484	637.3333333333333	54.39999999999997
87	Flood of Tears	rare	31	30	61	0.5081967213114754	488.0	52.8
177	Prismite	common	172	130	302	0.5695364238410596	302.0	51.2
85	Fire Elemental	common	228	217	445	0.5123595505617977	445.0	49.99999999999997
192	Sage's Row Denizen	common	209	189	398	0.5251256281407035	398.0	49.79999999999999
60	Destructive Digger	common	161	120	281	0.5729537366548043	281.0	48.60000000000001
198	Scorch Spitter	common	225	221	446	0.5044843049327354	446.0	46.599999999999994
174	Planar Cleansing	rare	33	35	68	0.4852941176470588	544.0	46.399999999999984
54	Corpse Knight	uncommon	59	45	104	0.5673076923076923	277.3333333333333	46.399999999999984
64	Dismal Backwater	common	177	151	328	0.5396341463414634	328.0	45.800000000000004
9	Angelic Gift	common	180	156	336	0.5357142857142857	336.0	45.59999999999999
221	Swiftwater Cliffs	common	191	174	365	0.5232876712328767	365.0	44.99999999999998
154	Moment of Heroism	common	182	163	345	0.527536231884058	345.0	43.999999999999986
208	Skyknight Vanguard	uncommon	66	58	124	0.532258064516129	330.66666666666663	43.73333333333331
235	Tranquil Cove	common	147	114	261	0.5632183908045977	261.0	42.59999999999999
98	Goblin Bird-Grabber	common	168	146	314	0.535031847133758	314.0	42.39999999999999
