	colors	wins	losses	games	WinLoss	ZScore
13	ug	521	347	868	0.6002304147465438	3.9803759261975453
0		5	1	6	0.8333333333333334	1.4728992463974488
27	wubr	18	11	29	0.6206896551724138	0.947903403356327
24	wu	420	346	766	0.5483028720626631	0.8648327336402205
14	ur	290	237	527	0.5502846299810247	0.8083250600834165
3	br	267	219	486	0.5493827160493827	0.7364789766852391
7	rg	425	357	782	0.5434782608695652	0.6039848583639225
21	wg	245	203	448	0.546875	0.6009439453302435
5	g	20	15	35	0.5714285714285714	0.45849071411609493
9	ub	509	437	946	0.5380549682875264	0.3306964582560383
16	w	9	7	16	0.5625	0.23856773080241567
15	urg	540	471	1011	0.5341246290801187	0.0919289585731524
22	wr	146	128	274	0.5328467153284672	0.00555125133215356
6	r	9	8	17	0.5294117647058824	-0.02694258992530462
29	wug	103	95	198	0.5202020202020202	-0.35113428306310146
28	wubrg	30	29	59	0.5084745762711864	-0.37183592974484303
8	u	7	8	15	0.4666666666666667	-0.5113295959380256
12	ubrg	32	32	64	0.5	-0.5228645383951687
1	b	14	15	29	0.4827586206896552	-0.5376593020600878
2	bg	341	313	654	0.5214067278287462	-0.5765429057850817
10	ubg	206	192	398	0.5175879396984925	-0.6021327575356019
11	ubr	59	59	118	0.5	-0.7099703384024305
30	wur	114	113	227	0.5022026431718062	-0.9183462429374507
4	brg	78	80	158	0.4936708860759494	-0.9806496238461233
17	wb	227	228	455	0.4989010989010989	-1.441015945124387
26	wubg	18	25	43	0.4186046511627907	-1.496071500711215
31	wurg	10	16	26	0.38461538461538464	-1.509958871359435
20	wbrg	6	12	18	0.3333333333333333	-1.6915043579289932
23	wrg	47	59	106	0.44339622641509435	-1.838445522473036
18	wbg	85	99	184	0.46195652173913043	-1.9186536520519064
25	wub	95	110	205	0.4634146341463415	-1.9834305562886934
19	wbr	43	61	104	0.41346153846153844	-2.431569337304319
