	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
124	Kaya's Wrath	rare	295	233	528	0.5587121212121212	4224.0	670.3999999999999
210	Spawn of Mayhem	mythic	145	113	258	0.562015503875969	4128.0	668.8
232	Teysa Karlov	rare	276	210	486	0.5679012345679012	3888.0	652.7999999999998
69	Ethereal Absolution	rare	272	210	482	0.5643153526970954	3856.0	633.5999999999999
225	Swamp	land	2642	2397	5039	0.524310379043461	5039.0	626.3999999999999
105	Gutterbones	rare	274	218	492	0.556910569105691	3936.0	617.5999999999998
151	Plains	land	2530	2317	4847	0.5219723540334227	4847.0	591.1999999999996
143	Orzhov Enforcer	uncommon	742	593	1335	0.5558052434456929	3560.0	554.6666666666667
195	Seraph of the Scales	mythic	125	101	226	0.5530973451327433	3616.0	553.5999999999998
4	Angel of Grace	mythic	103	76	179	0.5754189944134078	2864.0	502.3999999999999
113	Hydroid Krasis	mythic	98	69	167	0.5868263473053892	2672.0	499.1999999999998
169	Ravager Wurm	mythic	111	89	200	0.555	3200.0	496.0000000000001
21	Biogenic Ooze	mythic	91	61	152	0.5986842105263158	2432.0	483.20000000000005
59	Deputy of Detention	rare	215	173	388	0.5541237113402062	3104.0	478.40000000000003
119	Incubation Druid	rare	215	176	391	0.5498721227621484	3128.0	468.8
236	Thrash // Threat	rare	226	197	423	0.5342789598108747	3384.0	454.3999999999999
125	Kaya, Orzhov Usurper	mythic	90	66	156	0.5769230769230769	2496.0	441.5999999999998
136	Ministrant of Obligation	uncommon	525	380	905	0.580110497237569	2413.333333333333	434.66666666666646
103	Gruul Spellbreaker	rare	185	142	327	0.5657492354740061	2616.0	433.59999999999997
99	Growth-Chamber Guardian	rare	215	188	403	0.533498759305211	3224.0	430.40000000000003
120	Island	land	1967	1892	3859	0.5097175434050272	3859.0	423.39999999999975
144	Orzhov Guildgate	common	1629	1397	3026	0.5383344348975545	3026.0	418.59999999999985
18	Bedeck // Bedazzle	rare	268	273	541	0.4953789279112754	4328.0	412.7999999999999
251	Warrant // Warden	rare	181	145	326	0.5552147239263804	2608.0	404.79999999999995
64	Electrodominance	rare	203	179	382	0.5314136125654451	3056.0	401.6
206	Sky Tether	uncommon	544	441	985	0.5522842639593909	2626.6666666666665	400.0
95	Grasping Thrull	common	1527	1311	2838	0.5380549682875264	2838.0	391.7999999999999
46	Collision // Colossus	uncommon	616	559	1175	0.5242553191489362	3133.333333333333	389.3333333333333
138	Mortify	uncommon	531	438	969	0.5479876160990712	2584.0	382.3999999999999
24	Blade Juggler	common	1387	1138	2525	0.5493069306930694	2525.0	377.00000000000006
34	Carnival // Carnage	uncommon	610	563	1173	0.5200341005967605	3128.0	375.4666666666667
80	Forest	land	1720	1648	3368	0.5106888361045131	3368.0	372.80000000000007
173	Revival // Revenge	rare	184	160	344	0.5348837209302325	2752.0	371.1999999999998
244	Unbreakable Formation	rare	177	150	327	0.5412844036697247	2616.0	369.59999999999985
139	Mountain	land	1757	1735	3492	0.5031500572737686	3492.0	360.1999999999999
121	Judith, the Scourge Diva	rare	164	134	298	0.5503355704697986	2384.0	358.3999999999999
223	Summary Judgment	common	1410	1226	2636	0.5349013657056145	2636.0	355.59999999999985
135	Mesmerizing Benthid	mythic	92	83	175	0.5257142857142857	2800.0	351.9999999999999
79	Forbidding Spirit	uncommon	548	498	1046	0.5239005736137667	2789.333333333333	345.5999999999999
114	Ill-Gotten Inheritance	common	1331	1133	2464	0.5401785714285714	2464.0	345.39999999999986
54	Dagger Caster	uncommon	517	453	970	0.5329896907216495	2586.6666666666665	343.9999999999999
212	Sphinx of Foresight	rare	175	155	330	0.5303030303030303	2640.0	343.9999999999999
74	Final Payment	common	1338	1148	2486	0.5382139983909895	2486.0	343.5999999999998
194	Sentinel's Mark	uncommon	511	446	957	0.5339602925809822	2552.0	341.86666666666656
117	Imperious Oligarch	common	1270	1061	2331	0.5448305448305448	2331.0	337.59999999999997
17	Basilica Bell-Haunt	uncommon	468	392	860	0.5441860465116279	2293.333333333333	330.66666666666663
256	Zegana, Utopian Speaker	rare	150	122	272	0.5514705882352942	2176.0	329.6
97	Grotesque Demise	common	1178	952	2130	0.5530516431924882	2130.0	325.9999999999999
239	Tithe Taker	rare	181	170	351	0.5156695156695157	2808.0	324.8
229	Syndicate Messenger	common	1255	1099	2354	0.5331350892098555	2354.0	313.39999999999986
149	Pitiless Pontiff	uncommon	395	306	701	0.5634807417974322	1869.3333333333333	305.59999999999997
12	Azorius Guildgate	common	1254	1119	2373	0.5284450063211125	2373.0	304.79999999999984
55	Dead Revels	common	1092	885	1977	0.5523520485584219	1977.0	301.20000000000005
148	Pestilent Spirit	rare	193	196	389	0.4961439588688946	3112.0	299.2
