	colors	wins	losses	games	WinLoss	ZScore
10	wb	872	665	1537	0.5673389720234222	3.6404356291426883
7	ug	338	271	609	0.555008210180624	1.6829322343772677
11	wbg	8	5	13	0.6153846153846154	0.6812641037399815
2	rg	361	317	678	0.532448377581121	0.6008678408387137
16	wrg	8	6	14	0.5714285714285714	0.37804425878521397
20	wubr	67	61	128	0.5234375	0.05718440697371281
18	wub	580	535	1115	0.5201793721973094	-0.04881254376183612
23	wur	3	3	6	0.5	-0.10243904440806564
13	wbrg	21	20	41	0.5121951219512195	-0.11160850992587354
6	ubrg	52	49	101	0.5148514851485149	-0.12178031714329755
17	wu	291	271	562	0.5177935943060499	-0.14777177580130024
5	ubr	9	9	18	0.5	-0.17742962959357417
1	brg	195	185	380	0.5131578947368421	-0.3022437120851335
14	wg	2	3	5	0.4	-0.5407272211525762
9	urg	358	348	706	0.5070821529745042	-0.7348450637788624
19	wubg	67	70	137	0.48905109489051096	-0.7458044578848584
24	wurg	65	70	135	0.48148148148148145	-0.9162425354028696
0	br	395	389	784	0.5038265306122449	-0.956690098891932
12	wbr	374	370	744	0.5026881720430108	-0.9940658066138267
3	ub	1	3	4	0.25	-1.083641129512689
4	ubg	4	9	13	0.3076923076923077	-1.537536681160935
15	wr	0	3	3	0.0	-1.8044861505280902
8	ur	0	3	3	0.0	-1.8044861505280902
22	wug	187	213	400	0.4675	-2.13641129512689
21	wubrg	114	143	257	0.44357976653696496	-2.4794049534746634
