	colors	wins	losses	games	WinLoss	ZScore
4	ug	74	44	118	0.6271186440677966	1.8099998831668538
6	wb	258	191	449	0.5746102449888641	1.305433098321337
13	wubr	20	13	33	0.6060606060606061	0.7152435410868551
5	urg	121	92	213	0.568075117370892	0.708373342909308
16	wurg	29	20	49	0.5918367346938775	0.6724212343547686
2	rg	66	50	116	0.5689655172413793	0.5419386606617285
1	brg	41	31	72	0.5694444444444444	0.43508785831317187
11	wub	128	114	242	0.5289256198347108	-0.4629888949048971
8	wbr	74	68	142	0.5211267605633803	-0.5405240652231255
10	wu	55	53	108	0.5092592592592593	-0.7180539601703801
14	wubrg	48	47	95	0.5052631578947369	-0.7513509140345661
15	wug	42	44	86	0.4883720930232558	-1.0281578012992505
0	br	84	84	168	0.5	-1.135598067998961
9	wbrg	1	3	4	0.25	-1.1752265861027191
7	wbg	1	3	4	0.25	-1.1752265861027191
3	ubrg	15	19	34	0.4411764705882353	-1.1968632377014972
12	wubg	23	30	53	0.4339622641509434	-1.5993583488164578
