	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
138	Liliana, Dreadhorde General	mythic	526	387	913	0.5761226725082147	14608.0	2572.7999999999997
240	Ugin, the Ineffable	rare	947	669	1616	0.5860148514851485	12928.0	2404.8
215	Swamp	land	8311	6751	15062	0.5517859514008764	15062.0	2286.2
115	Island	land	8402	7133	15535	0.5408432571612488	15535.0	2188.0
149	Mountain	land	7824	6266	14090	0.5552874378992193	14090.0	2187.9999999999995
96	God-Eternal Oketra	mythic	356	229	585	0.6085470085470085	9360.0	1951.9999999999993
130	Krenko, Tin Street Kingpin	rare	798	595	1393	0.5728643216080402	11144.0	1926.4
194	Sarkhan the Masterless	rare	783	589	1372	0.5706997084548106	10976.0	1873.6000000000004
228	Tibalt, Rakish Instigator	uncommon	2196	1636	3832	0.5730688935281837	10218.666666666666	1768.5333333333326
169	Plains	land	6682	5625	12307	0.5429430405460307	12307.0	1759.1999999999996
95	God-Eternal Kefnet	mythic	347	266	613	0.566068515497553	9808.0	1628.7999999999995
109	Ilharg, the Raze-Boar	mythic	343	264	607	0.5650741350906096	9712.0	1603.1999999999998
85	Forest	land	6712	6087	12799	0.524415969997656	12799.0	1592.3999999999994
159	Nicol Bolas, Dragon-God	mythic	331	249	580	0.5706896551724138	9280.0	1583.9999999999995
161	Nissa, Who Shakes the World	rare	673	518	1191	0.5650713685978169	9528.0	1572.7999999999995
239	Ugin's Conjurant	uncommon	2060	1636	3696	0.5573593073593074	9856.0	1550.9333333333334
88	Gideon Blackblade	mythic	326	247	573	0.568935427574171	9168.0	1548.8
94	God-Eternal Bontu	mythic	330	269	599	0.5509181969949917	9584.0	1446.3999999999999
79	Finale of Glory	mythic	275	189	464	0.5926724137931034	7424.0	1430.3999999999996
124	Kasmina, Enigmatic Mentor	uncommon	1904	1518	3422	0.5563997662185857	9125.333333333332	1427.2
72	Eternal Skylord	uncommon	1718	1356	3074	0.5588809368900456	8197.333333333332	1302.4
224	The Wanderer	uncommon	1700	1335	3035	0.5601317957166392	8093.333333333333	1295.9999999999995
126	Kaya, Bane of the Dead	uncommon	1665	1295	2960	0.5625	7893.333333333333	1282.6666666666665
227	Tibalt's Rager	uncommon	1604	1207	2811	0.5706154393454287	7496.0	1278.9333333333332
65	Dreadmalkin	uncommon	1762	1448	3210	0.5489096573208723	8560.0	1274.6666666666665
134	Lazotep Plating	uncommon	1662	1318	2980	0.5577181208053691	7946.666666666666	1253.3333333333328
231	Toll of the Invasion	common	4152	3106	7258	0.5720584182970515	7258.0	1248.7999999999997
38	Chandra, Fire Artisan	rare	576	475	1051	0.5480494766888677	8408.0	1244.7999999999995
153	Nahiri, Storm of Stone	uncommon	1653	1320	2973	0.5560040363269425	7928.0	1236.8
37	Chandra's Triumph	uncommon	1577	1206	2783	0.5666546891843335	7421.333333333333	1236.8
203	Sorin, Vengeful Bloodlord	rare	522	405	927	0.5631067961165048	7416.0	1209.5999999999997
206	Spark Harvest	common	4321	3484	7805	0.5536194746957078	7805.0	1198.9999999999993
78	Finale of Eternity	mythic	260	203	463	0.5615550755939525	7408.0	1196.7999999999997
70	Enter the God-Eternals	rare	506	388	894	0.5659955257270693	7152.0	1187.1999999999998
30	Burning Prophet	common	4263	3431	7694	0.5540681050168963	7694.0	1185.3999999999999
5	Angrath, Captain of Chaos	uncommon	1562	1240	2802	0.5574589578872234	7472.0	1176.5333333333333
248	Vraska, Swarm's Eminence	uncommon	1658	1389	3047	0.5441417787988185	8125.333333333333	1171.2
35	Challenger Troll	uncommon	1590	1288	2878	0.5524669909659485	7674.666666666666	1170.1333333333328
49	Davriel, Rogue Shadowmage	uncommon	1642	1369	3011	0.5453337761541016	8029.333333333333	1166.933333333333
76	Feather, the Redeemed	rare	484	365	849	0.5700824499411072	6792.0	1155.2000000000003
253	Widespread Brutality	rare	504	396	900	0.56	7200.0	1152.0000000000002
205	Spark Double	rare	558	477	1035	0.5391304347826087	8280.0	1151.9999999999998
97	God-Eternal Rhonas	mythic	269	224	493	0.5456389452332657	7888.0	1148.8
81	Finale of Revelation	mythic	270	230	500	0.54	8000.0	1120.0
150	Mowu, Loyal Companion	uncommon	1745	1577	3322	0.5252859723058398	8858.666666666666	1109.8666666666663
105	Honor the God-Pharaoh	common	3881	3051	6932	0.559867282169648	6932.0	1108.1999999999996
219	Teferi, Time Raveler	rare	498	403	901	0.5527192008879024	7208.0	1100.8000000000002
58	Domri, Anarch of Bolas	rare	516	433	949	0.5437302423603794	7592.0	1091.2
144	Massacre Girl	rare	491	401	892	0.5504484304932735	7136.0	1073.5999999999997
179	Ral's Outburst	uncommon	1275	907	2182	0.5843263061411549	5818.666666666666	1072.533333333333
1	Aid the Fallen	common	3739	2987	6726	0.5559024680344931	6726.0	1048.6000000000001
191	Saheeli, Sublime Artificer	uncommon	1608	1441	3049	0.5273860282059691	8130.666666666666	1035.733333333333
208	Spellgorger Weird	common	3668	2913	6581	0.5573621030238566	6581.0	1035.6
207	Spark Reaper	common	3720	2992	6712	0.5542312276519666	6712.0	1035.2
232	Tolsimir, Friend to Wolves	rare	473	394	867	0.5455594002306805	6936.0	1009.5999999999998
225	Thunder Drake	common	3824	3238	7062	0.5414896629849901	7062.0	999.2000000000002
74	Evolution Sage	uncommon	1549	1392	2941	0.5266916014960897	7842.666666666666	993.5999999999995
119	Jaya, Venerated Firemage	uncommon	1304	1034	2338	0.5577416595380668	6234.666666666666	983.4666666666667
13	Awakening of Vitu-Ghazi	rare	508	457	965	0.5264248704663212	7720.0	975.9999999999999
117	Jace, Wielder of Mysteries	rare	442	358	800	0.5525	6400.0	975.9999999999998
83	Flux Channeler	uncommon	1499	1335	2834	0.5289343683839096	7557.333333333333	974.3999999999994
116	Jace's Triumph	uncommon	1252	969	2221	0.5637100405222872	5922.666666666666	969.5999999999997
135	Lazotep Reaver	common	3280	2498	5778	0.5676704742125303	5778.0	968.7999999999996
112	Invading Manticore	common	3526	2874	6400	0.5509375	6400.0	965.9999999999997
63	Dreadhorde Invasion	rare	505	456	961	0.5254942767950052	7688.0	964.7999999999995
31	Callous Dismissal	common	3336	2624	5960	0.5597315436241611	5960.0	952.0000000000001
246	Vizier of the Scorpion	uncommon	1351	1135	2486	0.5434432823813354	6629.333333333333	950.9333333333328
99	Grateful Apparition	uncommon	1249	1008	2257	0.5533894550287993	6018.666666666666	923.1999999999999
163	No Escape	common	3475	2907	6382	0.5445001566906926	6382.0	922.2000000000002
230	Tithebearer Giant	common	3595	3099	6694	0.5370481027786077	6694.0	917.3999999999999
165	Ob Nixilis's Cruelty	common	3170	2473	5643	0.5617579301789828	5643.0	912.7999999999997
11	Augur of Bolas	uncommon	1246	1023	2269	0.5491405905685324	6050.666666666666	902.3999999999996
250	Wanderer's Strike	common	3363	2791	6154	0.5464738381540462	6154.0	901.3999999999999
120	Jiang Yanggu, Wildcrafter	uncommon	1574	1523	3097	0.5082337746206006	8258.666666666666	893.8666666666666
177	Prison Realm	uncommon	1192	952	2144	0.5559701492537313	5717.333333333333	891.7333333333331
73	Eternal Taskmaster	uncommon	1260	1057	2317	0.5438066465256798	6178.666666666666	888.5333333333333
214	Sunblade Angel	uncommon	1239	1027	2266	0.5467784642541924	6042.666666666666	886.933333333333
148	Mobilized District	rare	418	351	769	0.5435630689206762	6152.0	883.1999999999997
118	Jaya's Greeting	common	2996	2288	5284	0.566994700984103	5284.0	882.4000000000001
102	Heartfire	common	3191	2613	5804	0.5497932460372157	5804.0	869.3999999999997
156	Neheb, Dreadhorde Champion	rare	424	367	791	0.5360303413400759	6328.0	860.8000000000001
237	Turret Ogre	common	3027	2391	5418	0.5586932447397563	5418.0	859.7999999999997
47	Cyclops Electromancer	uncommon	1022	737	1759	0.5810119386014782	4690.666666666666	849.0666666666666
167	Paradise Druid	uncommon	1208	1017	2225	0.5429213483146067	5933.333333333333	847.9999999999995
41	Command the Dreadhorde	rare	433	385	818	0.5293398533007335	6544.0	846.4
18	Blast Zone	rare	384	314	698	0.5501432664756447	5584.0	838.4
229	Time Wipe	rare	356	273	629	0.5659777424483307	5032.0	835.1999999999997
3	Ajani, the Greathearted	rare	456	423	879	0.5187713310580204	7032.0	835.1999999999995
199	Sky Theater Strix	common	3134	2616	5750	0.5450434782608695	5750.0	833.9999999999997
10	Ashiok, Dream Render	uncommon	1264	1119	2383	0.5304238355014688	6354.666666666666	828.8
236	Trusted Pegasus	common	3032	2480	5512	0.5500725689404935	5512.0	827.2
90	Gideon's Triumph	uncommon	1223	1061	2284	0.5354640980735552	6090.666666666666	825.0666666666667
213	Storrev, Devkarin Lich	rare	393	334	727	0.5405777166437414	5816.0	817.6
56	Divine Arrow	common	3021	2490	5511	0.54817637452368	5511.0	816.6000000000001
123	Kasmina's Transmutation	common	3344	2976	6320	0.529113924050633	6320.0	816.0000000000001
127	Kiora's Dambreaker	common	3345	2991	6336	0.5279356060606061	6336.0	810.5999999999999
204	Soul Diviner	rare	346	267	613	0.564437194127243	4904.0	806.3999999999996
62	Dreadhorde Butcher	rare	322	232	554	0.5812274368231047	4432.0	803.2
187	Roalesk, Apex Hybrid	mythic	219	203	422	0.518957345971564	6752.0	803.1999999999997
244	Vivien's Grizzly	common	3364	3051	6415	0.5243959469992205	6415.0	797.9999999999997
155	Narset, Parter of Veils	uncommon	1146	976	2122	0.5400565504241281	5658.666666666666	792.533333333333
42	Commence the Endgame	rare	392	343	735	0.5333333333333333	5880.0	783.9999999999998
238	Tyrant's Scorn	uncommon	1022	802	1824	0.5603070175438597	4864.0	779.7333333333335
17	Bioessence Hydra	rare	432	406	838	0.5155131264916468	6704.0	774.4000000000002
8	Arlinn, Voice of the Pack	uncommon	1143	990	2133	0.5358649789029536	5688.0	772.8
121	Karn's Bastion	rare	365	306	671	0.5439642324888226	5368.0	772.7999999999998
158	New Horizons	common	3349	3093	6442	0.5198696057125116	6442.0	772.1999999999997
178	Raging Kronch	common	2561	1933	4494	0.5698709390298176	4494.0	763.4
19	Bleeding Edge	uncommon	973	744	1717	0.5666860803727432	4578.666666666666	763.1999999999998
170	Planewide Celebration	rare	496	508	1004	0.4940239043824701	8032.0	755.1999999999998
