	colors	wins	losses	games	WinLoss	ZScore
1	br	315	201	516	0.6104651162790697	2.607067372249526
23	wubr	34	15	49	0.6938775510204082	1.971162277140908
11	urg	64	36	100	0.64	1.7383950897931344
18	wr	180	120	300	0.6	1.6253479730948666
10	ur	251	186	437	0.5743707093821511	0.8901349184705444
3	r	11	6	17	0.6470588235294118	0.7749672074359392
7	ubr	118	86	204	0.5784313725490197	0.724173037318419
22	wubg	37	26	63	0.5873015873015873	0.5432469594634401
12	w	9	6	15	0.6	0.36343885549316207
26	wur	53	41	94	0.5638297872340425	0.20844134756173288
17	wg	157	126	283	0.5547703180212014	0.056862840626340075
6	ubg	110	89	199	0.5527638190954773	-0.008927487783012522
20	wu	123	100	223	0.5515695067264574	-0.04512028205184593
25	wug	105	87	192	0.546875	-0.171964807957652
16	wbrg	12	12	24	0.5	-0.5200780676879949
2	brg	22	21	43	0.5116279069767442	-0.5436423232452618
4	rg	99	88	187	0.5294117647058824	-0.6473232142648443
5	ub	192	167	359	0.5348189415041783	-0.6920046399208674
14	wbg	92	83	175	0.5257142857142857	-0.7240352400896028
9	ug	81	74	155	0.5225806451612903	-0.7594339242489831
27	wurg	17	18	35	0.4857142857142857	-0.7970847856371156
15	wbr	16	18	34	0.47058823529411764	-0.9620138865597978
0	bg	90	86	176	0.5113636363636364	-1.1068667205242804
21	wub	75	75	150	0.5	-1.3001951692199873
13	wb	96	94	190	0.5052631578947369	-1.3182261337529773
8	ubrg	24	30	54	0.4444444444444444	-1.5966136824597188
24	wubrg	30	42	72	0.4166666666666667	-2.3150151995109476
19	wrg	20	33	53	0.37735849056603776	-2.5585473718635328
