	name	rarity	Wins	Losses	W/L	Games	AdjustedGames	WARC
4	Angel of Grace	mythic	53	25	0.6794871794871795	78	1248.0	348.8
123	Kaya's Wrath	rare	91	56	0.6190476190476191	147	1176.0	257.6
98	Growth-Chamber Guardian	rare	90	55	0.6206896551724138	145	1160.0	256.0
118	Incubation Druid	rare	82	46	0.640625	128	1024.0	246.39999999999998
146	Pestilent Spirit	rare	85	52	0.6204379562043796	137	1096.0	241.6
142	Orzhov Guildgate	common	724	487	0.5978530140379852	1211	1211.0	239.60000000000002
207	Sphinx of Foresight	rare	81	52	0.6090225563909775	133	1064.0	222.4
61	Dovin, Grand Arbiter	mythic	40	26	0.6060606060606061	66	1056.0	217.6
83	Gate Colossus	uncommon	231	156	0.5968992248062015	387	1032.0	203.19999999999993
151	Precognitive Perception	rare	73	47	0.6083333333333333	120	960.0	199.99999999999994
67	Essence Capture	uncommon	237	169	0.583743842364532	406	1082.6666666666665	198.93333333333328
136	Mortify	uncommon	231	163	0.5862944162436549	394	1050.6666666666665	195.73333333333332
246	Warrant // Warden	rare	83	64	0.564625850340136	147	1176.0	193.59999999999994
11	Azorius Guildgate	common	561	381	0.5955414012738853	942	942.0	184.19999999999996
59	Domri, Chaos Bringer	mythic	31	18	0.6326530612244898	49	784.0	182.4
153	Prime Speaker Vannifar	mythic	35	24	0.5932203389830508	59	944.0	182.39999999999995
251	Zegana, Utopian Speaker	rare	52	23	0.6933333333333334	75	600.0	176.0
124	Kaya, Orzhov Usurper	mythic	31	19	0.62	50	800.0	175.99999999999997
191	Seraph of the Scales	mythic	30	18	0.625	48	768.0	172.79999999999998
94	Grasping Thrull	common	535	375	0.5879120879120879	910	910.0	171.0
102	Gruul Spellbreaker	rare	60	38	0.6122448979591837	98	784.0	166.4
113	Ill-Gotten Inheritance	common	506	346	0.5938967136150235	852	852.0	165.2
202	Sky Tether	uncommon	185	123	0.6006493506493507	308	821.3333333333333	164.79999999999998
231	Thrash // Threat	rare	66	48	0.5789473684210527	114	912.0	163.2
17	Bedeck // Bedazzle	rare	70	55	0.56	125	1000.0	160.00000000000003
60	Dovin's Acuity	uncommon	186	130	0.5886075949367089	316	842.6666666666666	158.93333333333334
45	Collision // Colossus	uncommon	210	166	0.5585106382978723	376	1002.6666666666666	158.93333333333325
104	Gutterbones	rare	67	51	0.5677966101694916	118	944.0	158.4
133	Mesmerizing Benthid	mythic	25	13	0.6578947368421053	38	608.0	156.8
99	Gruul Beastmaster	uncommon	159	93	0.6309523809523809	252	672.0	155.19999999999996
16	Basilica Bell-Haunt	uncommon	166	104	0.6148148148148148	270	720.0	154.66666666666666
196	Simic Guildgate	common	463	309	0.5997409326424871	772	772.0	154.2
23	Blade Juggler	common	479	344	0.5820170109356014	823	823.0	149.79999999999995
234	Tithe Taker	rare	55	36	0.6043956043956044	91	728.0	148.79999999999995
182	Sauroform Hybrid	common	466	330	0.585427135678392	796	796.0	147.60000000000002
112	Hydroid Krasis	mythic	33	27	0.55	60	960.0	144.00000000000003
171	Revival // Revenge	rare	70	60	0.5384615384615384	130	1040.0	143.99999999999994
8	Arrester's Admonition	common	434	294	0.5961538461538461	728	728.0	142.79999999999998
218	Summary Judgment	common	474	355	0.571773220747889	829	829.0	142.4
156	Pteramander	uncommon	143	81	0.6383928571428571	224	597.3333333333333	142.39999999999995
68	Ethereal Absolution	rare	50	31	0.6172839506172839	81	648.0	140.79999999999995
48	Consecrate // Consume	uncommon	145	87	0.625	232	618.6666666666666	139.2
237	Trollbred Guardian	uncommon	155	102	0.603112840466926	257	685.3333333333333	139.19999999999996
54	Dead Revels	common	428	295	0.5919778699861687	723	723.0	138.79999999999998
73	Final Payment	common	452	332	0.576530612244898	784	784.0	138.4
134	Ministrant of Obligation	uncommon	155	104	0.5984555984555985	259	690.6666666666666	137.06666666666666
37	Chillbringer	common	399	259	0.6063829787234043	658	658.0	135.8
132	Mass Manipulation	rare	52	36	0.5909090909090909	88	704.0	134.4
20	Biogenic Ooze	mythic	28	21	0.5714285714285714	49	784.0	134.39999999999995
22	Biomancer's Familiar	rare	54	40	0.574468085106383	94	752.0	131.20000000000002
228	Theater of Horrors	rare	62	52	0.543859649122807	114	912.0	131.2
96	Grotesque Demise	common	413	294	0.5841584158415841	707	707.0	130.19999999999996
116	Imperious Oligarch	common	399	276	0.5911111111111111	675	675.0	129.0
224	Syndicate Messenger	common	418	305	0.5781466113416321	723	723.0	128.8
173	Rix Maadi Reveler	rare	50	35	0.5882352941176471	85	680.0	128.0
44	Code of Constraint	uncommon	145	98	0.5967078189300411	243	648.0	127.46666666666661
194	Silhana Wayfinder	uncommon	144	97	0.5975103734439834	241	642.6666666666666	126.93333333333331
100	Gruul Guildgate	common	421	319	0.5689189189189189	740	740.0	124.99999999999996
58	Deputy of Detention	rare	54	43	0.5567010309278351	97	776.0	121.6
109	Hero of Precinct One	rare	66	61	0.5196850393700787	127	1016.0	121.59999999999994
147	Pitiless Pontiff	uncommon	139	95	0.594017094017094	234	624.0	121.06666666666665
78	Forbidding Spirit	uncommon	162	130	0.5547945205479452	292	778.6666666666666	120.5333333333333
141	Orzhov Enforcer	uncommon	147	109	0.57421875	256	682.6666666666666	118.93333333333331
65	End-Raze Forerunners	rare	56	47	0.5436893203883495	103	824.0	118.39999999999996
71	Faerie Duelist	common	379	281	0.5742424242424242	660	660.0	114.99999999999997
238	Twilight Panther	common	342	232	0.5958188153310104	574	574.0	112.39999999999998
213	Spirit of the Spires	uncommon	124	83	0.5990338164251208	207	552.0	109.86666666666665
63	Electrodominance	rare	71	73	0.4930555555555556	144	1152.0	107.2
139	Noxious Groodion	common	348	255	0.5771144278606966	603	603.0	106.80000000000001
190	Sentinel's Mark	uncommon	155	133	0.5381944444444444	288	768.0	106.1333333333333
164	Rakdos, the Showstopper	mythic	18	11	0.6206896551724138	29	464.0	102.4
148	Plague Wight	common	358	283	0.5585023400936038	641	641.0	101.60000000000001
81	Frilled Mystic	uncommon	148	128	0.5362318840579711	276	736.0	100.26666666666668
57	Depose // Deploy	uncommon	128	100	0.5614035087719298	228	608.0	98.1333333333333
201	Skitter Eel	common	297	202	0.5951903807615231	499	499.0	97.4
166	Rampaging Rendhorn	common	302	215	0.5841392649903289	517	517.0	95.20000000000002
110	High Alert	uncommon	126	100	0.5575221238938053	226	602.6666666666666	94.9333333333333
84	Gatebreaker Ram	uncommon	118	88	0.5728155339805825	206	549.3333333333333	94.9333333333333
117	Incubation // Incongruity	uncommon	130	107	0.5485232067510548	237	632.0	93.86666666666663
87	Gateway Sneak	uncommon	120	93	0.5633802816901409	213	568.0	92.8
203	Slimebind	common	305	236	0.5637707948243993	541	541.0	88.60000000000001
192	Sharktocrab	uncommon	97	65	0.5987654320987654	162	432.0	85.86666666666666
152	Priest of Forgotten Gods	rare	43	38	0.5308641975308642	81	648.0	84.8
7	Archway Angel	uncommon	108	83	0.5654450261780105	191	509.3333333333333	84.26666666666668
66	Enraged Ceratok	uncommon	110	86	0.5612244897959183	196	522.6666666666666	84.26666666666662
170	Resolute Watchdog	uncommon	129	115	0.5286885245901639	244	650.6666666666666	83.73333333333329
233	Titanic Brawl	common	292	235	0.5540796963946869	527	527.0	81.19999999999999
200	Skewer the Critics	common	328	291	0.529886914378029	619	619.0	80.39999999999996
62	Drill Bit	uncommon	101	77	0.5674157303370787	178	474.66666666666663	79.46666666666667
214	Steeple Creeper	common	267	202	0.5692963752665245	469	469.0	79.4
74	Fireblade Artist	uncommon	144	142	0.5034965034965035	286	762.6666666666666	78.93333333333335
18	Bedevil	rare	43	40	0.5180722891566265	83	664.0	78.39999999999999
49	Consign to the Pit	common	260	202	0.5627705627705628	462	462.0	75.2
244	Vizkopa Vampire	common	276	227	0.5487077534791253	503	503.0	74.8
179	Sage's Row Savant	common	259	202	0.561822125813449	461	461.0	74.6
24	Bladebrand	common	263	208	0.5583864118895966	471	471.0	74.59999999999998
53	Dagger Caster	uncommon	123	115	0.5168067226890757	238	634.6666666666666	74.13333333333335
195	Simic Ascendancy	rare	26	16	0.6190476190476191	42	336.0	73.6
209	Sphinx of the Guildpact	uncommon	103	87	0.5421052631578948	190	506.66666666666663	72.0
172	Rhythm of the Wild	uncommon	119	111	0.5173913043478261	230	613.3333333333333	71.99999999999999
33	Carnival // Carnage	uncommon	143	147	0.49310344827586206	290	773.3333333333333	71.99999999999997
160	Rakdos Guildgate	common	306	282	0.5204081632653061	588	588.0	70.8
32	Captive Audience	mythic	22	22	0.5	44	704.0	70.39999999999998
46	Combine Guildmage	uncommon	90	69	0.5660377358490566	159	424.0	70.39999999999998
230	Thought Collapse	common	253	206	0.55119825708061	459	459.0	69.39999999999998
105	Gyre Engineer	uncommon	98	82	0.5444444444444444	180	480.0	69.3333333333333
40	Clamor Shaman	uncommon	98	83	0.5414364640883977	181	482.66666666666663	68.26666666666662
47	Concordia Pegasus	common	221	168	0.5681233933161953	389	389.0	65.39999999999998
219	Sunder Shaman	uncommon	92	77	0.5443786982248521	169	450.66666666666663	65.06666666666665
208	Sphinx of New Prahv	uncommon	87	70	0.554140127388535	157	418.66666666666663	64.53333333333332
240	Undercity Scavenger	common	238	196	0.5483870967741935	434	434.0	64.39999999999998
138	Nikya of the Old Ways	rare	38	37	0.5066666666666667	75	600.0	64.00000000000001
245	Wall of Lost Thoughts	uncommon	116	114	0.5043478260869565	230	613.3333333333333	63.999999999999964
127	Lawmage's Binding	common	224	178	0.5572139303482587	402	402.0	63.199999999999996
210	Sphinx's Insight	common	223	177	0.5575	400	400.0	62.999999999999986
143	Orzhov Locket	common	220	173	0.5597964376590331	393	393.0	62.8
157	Quench	common	211	161	0.5672043010752689	372	372.0	62.20000000000001
199	Skatewing Spy	uncommon	74	54	0.578125	128	341.3333333333333	60.79999999999999
21	Biogenic Upgrade	uncommon	74	56	0.5692307692307692	130	346.66666666666663	58.66666666666664
27	Bolrac-Clan Crusher	uncommon	93	85	0.5224719101123596	178	474.66666666666663	58.13333333333335
115	Impassioned Orator	common	194	147	0.5689149560117303	341	341.0	57.60000000000001
103	Guardian Project	rare	44	48	0.4782608695652174	92	736.0	57.599999999999994
239	Unbreakable Formation	rare	45	50	0.47368421052631576	95	760.0	55.999999999999964
212	Spire Mangler	uncommon	74	59	0.556390977443609	133	354.66666666666663	55.46666666666664
34	Carrion Imp	common	196	156	0.5568181818181818	352	352.0	55.199999999999974
51	Cry of the Carnarium	uncommon	83	73	0.532051282051282	156	416.0	54.93333333333332
187	Senate Courier	common	205	171	0.5452127659574468	376	376.0	54.6
64	Emergency Powers	mythic	7	2	0.7777777777777778	9	144.0	54.4
3	Amplifire	rare	32	31	0.5079365079365079	63	504.0	54.39999999999998
216	Stony Strength	common	157	101	0.6085271317829457	258	258.0	53.79999999999999
2	Aeromunculus	common	172	124	0.581081081081081	296	296.0	53.59999999999998
185	Screaming Shield	uncommon	67	51	0.5677966101694916	118	314.66666666666663	52.8
183	Savage Smash	common	177	137	0.5636942675159236	314	314.0	51.39999999999999
167	Ravager Wurm	mythic	24	28	0.46153846153846156	52	832.0	51.2
31	Burning-Tree Vandal	common	200	172	0.5376344086021505	372	372.0	51.19999999999998
227	Teysa Karlov	rare	30	29	0.5084745762711864	59	472.0	51.19999999999998
97	Growth Spiral	common	201	174	0.536	375	375.0	51.00000000000001
77	Footlight Fiend	common	183	147	0.5545454545454546	330	330.0	51.0
223	Syndicate Guildmage	uncommon	64	49	0.5663716814159292	113	301.3333333333333	50.13333333333332
188	Senate Griffin	common	224	212	0.5137614678899083	436	436.0	49.6
131	Mammoth Spider	common	190	163	0.5382436260623229	353	353.0	48.799999999999976
205	Spawn of Mayhem	mythic	13	12	0.52	25	400.0	48.0
129	Lumbering Battlement	rare	34	36	0.4857142857142857	70	560.0	47.999999999999986
242	Verity Circle	rare	20	15	0.5714285714285714	35	280.0	47.999999999999986
140	Open the Gates	common	136	88	0.6071428571428571	224	224.0	46.399999999999984
128	Light Up the Stage	uncommon	67	57	0.5403225806451613	124	330.66666666666663	46.39999999999998
13	Azorius Locket	common	169	139	0.5487012987012987	308	308.0	45.79999999999999
43	Clear the Stage	uncommon	51	34	0.6	85	226.66666666666666	45.33333333333332
86	Gateway Plaza	common	184	163	0.5302593659942363	347	347.0	45.19999999999998
19	Benthic Biomancer	rare	14	7	0.6666666666666666	21	168.0	44.79999999999999
189	Senate Guildmage	uncommon	69	62	0.5267175572519084	131	349.3333333333333	44.26666666666665
197	Simic Locket	common	148	115	0.5627376425855514	263	263.0	42.800000000000004
26	Bloodmist Infiltrator	uncommon	55	43	0.5612244897959183	98	261.3333333333333	42.13333333333331
177	Rubblebelt Runner	common	163	140	0.5379537953795379	303	303.0	41.79999999999998
6	Applied Biomancy	common	130	91	0.5882352941176471	221	221.0	41.6
144	Orzhov Racketeers	uncommon	48	33	0.5925925925925926	81	216.0	41.59999999999999
249	Windstorm Drake	uncommon	84	87	0.49122807017543857	171	456.0	41.59999999999998
14	Azorius Skyguard	uncommon	59	50	0.5412844036697247	109	290.66666666666663	41.06666666666665
95	Gravel-Hide Goblin	common	169	151	0.528125	320	320.0	40.99999999999998
163	Rakdos Trumpeter	common	166	147	0.5303514376996805	313	313.0	40.8
250	Wrecking Beast	common	146	120	0.5488721804511278	266	266.0	39.6
52	Cult Guildmage	uncommon	70	68	0.5072463768115942	138	368.0	39.46666666666667
85	Gates Ablaze	uncommon	38	21	0.6440677966101694	59	157.33333333333331	38.399999999999984
243	Vindictive Vampire	uncommon	60	54	0.5263157894736842	114	304.0	38.399999999999984
184	Scorchmark	common	185	182	0.5040871934604905	367	367.0	38.199999999999996
222	Sylvan Brushstrider	common	137	110	0.5546558704453441	247	247.0	38.199999999999996
93	Godless Shrine	rare	17	14	0.5483870967741935	31	248.0	36.79999999999998
176	Rubblebelt Recluse	common	165	158	0.5108359133126935	323	323.0	35.8
159	Rakdos Firewheeler	uncommon	49	40	0.550561797752809	89	237.33333333333331	35.73333333333333
178	Rumbling Ruin	uncommon	67	67	0.5	134	357.3333333333333	35.73333333333332
225	Tenth District Veteran	common	114	82	0.5816326530612245	196	196.0	35.599999999999994
42	Clear the Mind	common	137	119	0.53515625	256	256.0	34.599999999999994
10	Axebane Beast	common	132	114	0.5365853658536586	246	246.0	33.6
226	Territorial Boar	common	145	134	0.5197132616487455	279	279.0	33.4
107	Hackrobat	uncommon	46	39	0.5411764705882353	85	226.66666666666666	31.999999999999986
252	Zhur-Taa Goblin	uncommon	71	77	0.4797297297297297	148	394.66666666666663	31.466666666666647
162	Rakdos Roustabout	common	147	143	0.506896551724138	290	290.0	30.999999999999996
55	Debtors' Transport	common	103	78	0.569060773480663	181	181.0	30.599999999999994
89	Ghor-Clan Wrecker	common	138	131	0.5130111524163569	269	269.0	30.39999999999999
217	Storm Strike	common	92	66	0.5822784810126582	158	158.0	28.799999999999997
111	Humongulus	common	120	108	0.5263157894736842	228	228.0	28.79999999999999
80	Frenzied Arynx	common	114	99	0.5352112676056338	213	213.0	28.799999999999986
248	Wilderness Reclamation	uncommon	55	57	0.49107142857142855	112	298.66666666666663	27.19999999999998
12	Azorius Knight-Arbiter	common	97	81	0.5449438202247191	178	178.0	25.799999999999997
198	Skarrgan Hellkite	mythic	12	14	0.46153846153846156	26	416.0	25.6
193	Shimmer of Possibility	common	97	82	0.5418994413407822	179	179.0	25.400000000000002
232	Tin Street Dodger	uncommon	53	56	0.48623853211009177	109	290.66666666666663	25.066666666666666
90	Gift of Strength	common	115	111	0.5088495575221239	226	226.0	24.599999999999998
88	Get the Point	common	100	90	0.5263157894736842	190	190.0	23.99999999999999
35	Catacomb Crocodile	common	62	37	0.6262626262626263	99	99.0	22.400000000000002
41	Clan Guildmage	uncommon	47	50	0.4845360824742268	97	258.66666666666663	21.866666666666656
211	Spikewheel Acrobat	common	89	80	0.5266272189349113	169	169.0	21.400000000000002
126	Knight of the Last Breath	uncommon	38	37	0.5066666666666667	75	200.0	21.333333333333336
229	Thirsting Shade	common	62	43	0.5904761904761905	105	105.0	20.0
69	Expose to Daylight	common	75	63	0.5434782608695652	138	138.0	19.799999999999994
82	Galloping Lizrog	uncommon	47	52	0.47474747474747475	99	264.0	19.733333333333327
106	Haazda Officer	common	77	68	0.5310344827586206	145	145.0	18.99999999999999
181	Saruli Caretaker	common	62	46	0.5740740740740741	108	108.0	18.799999999999997
72	Feral Maaka	common	77	69	0.5273972602739726	146	146.0	18.599999999999998
